county,April 1 2020 estimate base,2020,2021,2022,2023,2024
New York,"8,488,064","8,495,483","8,537,073","8,586,192","8,631,753","8,677,605"
".Albany County, New York","146,131","146,231","146,802","147,609","148,502","149,050"
".Allegany County, New York","23,456","23,462","23,502","23,532","23,592","23,668"
".Bronx County, New York","547,024","547,441","552,787","557,959","564,952","574,110"
".Broome County, New York","92,566","92,624","92,884","93,196","93,435","93,609"
".Cattaraugus County, New York","40,151","40,161","40,223","40,338","40,476","40,574"
".Cayuga County, New York","36,668","36,688","36,754","36,810","36,951","37,058"
".Chautauqua County, New York","66,247","66,259","66,337","66,398","66,465","66,564"
".Chemung County, New York","38,984","39,030","39,190","39,307","39,368","39,425"
".Chenango County, New York","24,212","24,249","24,413","24,616","24,788","24,917"
".Clinton County, New York","37,315","37,342","37,480","37,635","37,790","38,015"
".Columbia County, New York","33,226","33,239","33,298","33,390","33,475","33,578"
".Cortland County, New York","20,805","20,806","20,828","20,858","20,886","20,918"
".Delaware County, New York","29,954","29,963","30,013","30,087","30,147","30,198"
".Dutchess County, New York","122,010","122,111","122,634","123,095","123,557","124,277"
".Erie County, New York","438,746","439,058","440,109","441,244","442,439","443,280"
".Essex County, New York","25,120","25,142","25,232","25,459","25,671","25,854"
".Franklin County, New York","25,321","25,347","25,421","25,511","25,602","25,705"
".Fulton County, New York","28,090","28,098","28,131","28,188","28,237","28,355"
".Genesee County, New York","26,011","26,024","26,103","26,202","26,218","26,255"
".Greene County, New York","28,925","28,938","28,988","29,079","29,172","29,250"
".Hamilton County, New York","7,820","7,829","7,873","7,917","7,964","8,009"
".Herkimer County, New York","32,339","32,348","32,409","32,476","32,531","32,583"
".Jefferson County, New York","61,600","61,619","61,719","61,857","62,010","62,169"
".Kings County, New York","1,077,665","1,079,904","1,089,581","1,101,310","1,110,624","1,122,604"
".Lewis County, New York","15,466","15,477","15,556","15,624","15,734","15,851"
".Livingston County, New York","27,114","27,139","27,210","27,310","27,426","27,475"
".Madison County, New York","30,552","30,563","30,624","30,701","30,769","30,902"
".Monroe County, New York","336,255","336,507","338,364","339,459","340,965","341,905"
".Montgomery County, New York","22,856","22,862","22,892","22,989","23,010","23,043"
".Nassau County, New York","476,734","477,049","478,140","479,257","479,801","480,705"
".New York County, New York","913,927","914,436","918,889","923,196","928,425","932,306"
".Niagara County, New York","100,156","100,178","100,304","100,462","100,608","100,762"
".Oneida County, New York","104,918","104,969","105,253","105,582","105,791","105,920"
".Onondaga County, New York","211,340","211,432","211,693","212,060","212,319","212,571"
".Ontario County, New York","52,591","52,661","52,979","53,358","53,874","54,153"
".Orange County, New York","146,881","147,206","148,216","149,870","151,052","152,412"
".Orleans County, New York","18,213","18,230","18,297","18,359","18,385","18,392"
".Oswego County, New York","54,475","54,507","54,811","54,921","55,036","55,138"
".Otsego County, New York","29,838","29,841","29,919","30,080","30,198","30,287"
".Putnam County, New York","38,310","38,334","38,357","38,407","38,563","38,617"
".Queens County, New York","896,324","896,773","902,533","911,900","917,392","922,998"
".Rensselaer County, New York","74,196","74,227","74,354","74,548","74,700","74,943"
".Richmond County, New York","183,692","183,746","184,171","184,552","184,968","185,847"
".Rockland County, New York","108,068","108,151","108,504","108,936","109,333","109,682"
".St. Lawrence County, New York","51,611","51,636","51,772","52,000","52,163","52,326"
".Saratoga County, New York","109,918","110,138","111,058","112,073","113,257","114,074"
".Schenectady County, New York","70,792","70,827","70,982","71,376","71,488","71,539"
".Schoharie County, New York","16,450","16,456","16,496","16,553","16,614","16,643"
".Schuyler County, New York","9,620","9,628","9,680","9,753","9,814","9,869"
".Seneca County, New York","16,096","16,101","16,144","16,182","16,236","16,268"
".Steuben County, New York","47,323","47,364","47,560","47,665","47,779","47,934"
".Suffolk County, New York","578,938","579,065","579,436","580,658","581,914","582,894"
".Sullivan County, New York","49,130","49,185","49,559","49,947","50,478","50,875"
".Tioga County, New York","21,788","21,794","21,918","22,076","22,232","22,335"
".Tompkins County, New York","46,883","47,073","47,372","47,982","48,197","48,511"
".Ulster County, New York","85,846","85,926","86,152","86,458","86,865","87,166"
".Warren County, New York","39,921","39,951","40,141","40,399","40,580","40,697"
".Washington County, New York","29,006","29,021","29,097","29,184","29,257","29,339"
".Wayne County, New York","42,256","42,282","42,406","42,565","42,671","42,816"
".Westchester County, New York","388,968","389,558","392,143","394,226","397,445","398,729"
".Wyoming County, New York","18,189","18,200","18,238","18,274","18,316","18,352"
".Yates County, New York","13,037","13,077","13,142","13,177","13,246","13,304"
